time,貝塚-箱崎九大前,箱崎九大前-箱崎宮前,箱崎宮前-馬出九大病院前,馬出九大病院前-千代県庁口,千代県庁口-呉服町,呉服町-中洲川端
7:00-7:15,0,0,0,0,0,0
7:15-7:30,0,0,0,0,0,0
7:30-7:45,0,0,0,0,0,0
7:45-8:00,0,0,0,0,0,0
8:00-8:15,0,0,0,0,0,0
8:15-8:30,0,0,0,0,0,0
8:30-8:45,0,0,0,0,0,0
8:45-9:00,0,0,0,0,0,0
9:00-9:15,0,0,0,0,0,0
9:15-9:30,0,0,0,0,0,0
9:30-9:45,0,0,0,0,0,0
9:45-10:00,0,0,0,0,0,0
16:00-16:15,0,0,0,0,0,0
16:15-16:30,0,0,0,0,0,0
16:30-16:45,0,0,0,0,0,0
16:45-17:00,0,0,0,0,0,0
17:00-17:15,0,0,0,0,0,0
17:15-17:30,0,0,0,0,0,0
17:30-17:45,0,0,0,0,0,0
17:45-18:00,0,0,0,0,0,0
18:00-18:15,0,0,0,0,0,0
18:15-18:30,0,0,0,0,0,0
18:30-18:45,0,0,0,0,0,0
18:45-19:00,0,0,0,0,0,0
