time,福岡空港-東比恵,東比恵-博多,博多-祇園,祇園-中洲川端,中洲川端-天神,天神-赤坂,赤坂-大濠公園,大濠公園-唐人町,唐人町-西新,西新-藤崎,藤崎-室見,室見-姪浜
7:00-7:15,0,0,0,0,0,0,0,0,0,0,0,0
7:15-7:30,0,0,0,0,0,0,0,0,0,0,0,0
7:30-7:45,0,0,0,0,1,0,0,0,0,0,0,0
7:45-8:00,0,0,0,0,0,0,0,0,0,0,0,0
8:00-8:15,0,0,0,0,0,0,0,0,0,0,0,0
8:15-8:30,0,0,0,0,0,0,0,0,0,0,0,0
8:30-8:45,0,0,0,0,0,0,0,0,0,0,0,0
8:45-9:00,0,0,0,0,0,0,0,0,0,0,0,0
9:00-9:15,0,0,0,0,0,0,0,0,0,0,0,0
9:15-9:30,0,0,0,0,0,0,0,0,0,0,0,0
9:30-9:45,0,0,0,0,0,0,0,0,0,0,0,0
9:45-10:00,0,0,0,0,0,0,0,0,0,0,0,0
16:00-16:15,0,0,0,0,0,0,0,0,0,0,0,0
16:15-16:30,0,0,0,0,0,0,0,0,0,0,0,0
16:30-16:45,0,0,0,0,0,0,0,0,0,0,0,0
16:45-17:00,0,0,0,0,0,0,0,0,0,0,0,0
17:00-17:15,0,0,0,0,0,0,0,0,0,0,0,0
17:15-17:30,0,0,0,0,0,0,0,0,0,0,0,0
17:30-17:45,0,0,0,0,0,0,0,0,0,0,0,0
17:45-18:00,0,0,0,0,1,1,1,1,1,0,0,0
18:00-18:15,0,0,1,1,1,0,1,0,0,0,0,0
18:15-18:30,0,0,0,1,1,1,1,1,0,0,0,0
18:30-18:45,0,0,0,1,0,0,0,0,0,0,0,0
18:45-19:00,0,0,0,1,1,1,1,1,1,0,0,0
